geoid,centroid_lat,centroid_lon
17031030101,41.991239,-87.657331
17031030701,41.982746,-87.657968
17031070103,41.926812,-87.642607
17031770602,42.005195,-87.90179
17031841200,41.855562,-87.683342
17031831900,41.945169,-87.668791
17031832600,41.914749,-87.654055
17031836900,41.881883,-87.706136
17031842300,41.902404,-87.656169
17031839500,41.834098,-87.619292
17031835800,41.813047,-87.61872
17031838800,41.683489,-87.572306
17031843400,41.849327,-87.732022
17031842600,41.816219,-87.651695
17031841900,41.867894,-87.642968
17031843200,41.84747,-87.663502
17031301803,41.83955,-87.727871
17031320101,41.88493,-87.617015
17031330103,41.85648,-87.623418
17031380600,41.820151,-87.622935
17031330102,41.863572,-87.623989
17031330101,41.859306,-87.612471
17031460800,41.7356,-87.553184
17031630600,41.801209,-87.688853
17031490200,41.72491,-87.616874
17031612200,41.804876,-87.652719
17031844700,41.854147,-87.711699
17031844600,41.813386,-87.625445
17031320102,41.885039,-87.624056
17031730202,41.72643,-87.648542
17031220701,41.926156,-87.721566
17031063302,41.934765,-87.639855
17031252201,41.876696,-87.752105
17031660302,41.783596,-87.698393
17031660301,41.779954,-87.698287
17031835600,41.801835,-87.632202
17031840000,41.831437,-87.638406
17031836400,41.821175,-87.595832
17031836100,41.799805,-87.618682
17031834600,41.787247,-87.634306
17031843600,41.806766,-87.608949
17031061902,41.943965,-87.638924
17031030102,41.993447,-87.657554
17031030103,41.995382,-87.657458
17031030706,41.979945,-87.652823
17031030601,41.988739,-87.657229
17031081202,41.902088,-87.624166
17031063303,41.934731,-87.634662
17031836000,41.814004,-87.611684
17031220901,41.919182,-87.721249
17031210602,41.934163,-87.712571
17031220602,41.929396,-87.712086
17031220601,41.925825,-87.712884
17031040401,41.972066,-87.686081
17031252202,41.876759,-87.744584
17031252102,41.876599,-87.759828
17031836300,41.801533,-87.601759
17031834500,41.788083,-87.624737
17031836200,41.790469,-87.601285
17031010501,42.009411,-87.663957
17031020701,41.986891,-87.703689
17031833900,41.731877,-87.547853
17031834400,41.77695,-87.596303
17031834300,41.745835,-87.591788
17031070101,41.929278,-87.63592
17031110501,41.977002,-87.761925
17031030104,41.997149,-87.657588
17031081401,41.895035,-87.619718
17031430102,41.76863,-87.565692
17031770902,41.97006,-87.83618
17031430101,41.769853,-87.573953
17031252101,41.875503,-87.769585
17031010201,42.016008,-87.680149
17031760801,41.983487,-87.84485
17031839000,41.871044,-87.631401
17031440201,41.748209,-87.610073
17031540101,41.65022,-87.599792
17031834000,41.727394,-87.629432
17031711100,41.739501,-87.6583
17031711200,41.740556,-87.669825
17031711500,41.73244,-87.638689
17031270500,41.87624,-87.717793
17031680900,41.77643,-87.63763
17031221000,41.920959,-87.715249
17031221100,41.921021,-87.710362
17031242800,41.892632,-87.690324
17031242900,41.892195,-87.684288
17031243000,41.892276,-87.679399
17031243100,41.892355,-87.674508
17031243200,41.892432,-87.669623
17031243300,41.892478,-87.664738
17031243400,41.892566,-87.659854
17031071400,41.922165,-87.634049
17031110400,41.972954,-87.772611
17031150600,41.949473,-87.771758
17031150700,41.949592,-87.761958
17031150800,41.949709,-87.752118
17031151100,41.94229,-87.761718
17031151200,41.942169,-87.771495
17031241500,41.908373,-87.670929
17031241100,41.90664,-87.68958
17031241600,41.90671,-87.665329
17031241300,41.906771,-87.681025
17031241400,41.906031,-87.675314
17031243500,41.89265,-87.652523
17031250200,41.912351,-87.751073
17031250300,41.912848,-87.760852
17031250400,41.912905,-87.775406
17031250500,41.914618,-87.796796
17031071500,41.914585,-87.631637
17031071800,41.914585,-87.645966
17031080100,41.907549,-87.62679
17031080300,41.90749,-87.635799
17031080400,41.907412,-87.640902
