"pin","year","class","township_code","case_no","hearing_type","subkey","appeal_type","status","mailed_bldg","mailed_land","mailed_tot","certified_bldg","certified_land","certified_tot","change","reason_code1","reason_desc1","reason_code2","reason_desc2","reason_code3","reason_desc3","agent_code","agent_name","row_id"
"04304130050000","2003","278","25","9000218","Current year appeal","1","residential",,"55131","8960","64091","50092","8960","59052","change","2","This is the result of an analysis of comparable properties. The decrease includes an update of your property's characteristics.",,,,,,,"0430413005000020039000218A1"
"04321000200000","2003","529","25","258","Current year appeal","1","commercial",,"380981","104129","485110","355088","104129","459217","change","6","This is the result of the partial occupancy of your property along with an income, market or cost analysis.",,,,,,,"043210002000002003258A1"
"04321000220000","2003","529","25","258","Current year appeal","1","commercial",,"3428848","1008751","4437599","3428848","1008751","4437599","change","6","This is the result of the partial occupancy of your property along with an income, market or cost analysis.",,,,,,,"043210002200002003258A1"
"04321010300000","2003","591","25","784","Current year appeal","1","commercial",,"3405","177","3582","2053","177","2230","change","6","This is the result of the partial occupancy of your property along with an income, market or cost analysis.",,,,,,,"043210103000002003784A1"
"04321010310000","2003","591","25","784","Current year appeal","1","commercial",,"337309","172606","509915","203393","172606","375999","change","6","This is the result of the partial occupancy of your property along with an income, market or cost analysis.",,,,,,,"043210103100002003784A1"
"04321050030000","2003","597","25","907","Current year appeal","1","commercial",,"2777829","528587","3306416","2215554","528587","2744141","change","11","This is the result of an income, market or cost analysis.","22","This is due to income, market or cost analysis supporting the assessment.","22","This is due to income, market or cost analysis supporting the assessment.",,,"043210500300002003907A1"
"04321050040000","2003","597","25","907","Current year appeal","1","commercial",,"2777829","460702","3238531","2215554","460702","2676256","change","11","This is the result of an income, market or cost analysis.","22","This is due to income, market or cost analysis supporting the assessment.","22","This is due to income, market or cost analysis supporting the assessment.",,,"043210500400002003907A1"
"04322000170000","2003","278","25","423","Current year appeal","1","residential",,"38786","8514","47300","38786","8514","47300","no change","16","This is due to your property's uniformity with comparable properties.",,,,,,,"043220001700002003423A1"
"04322000240000","2003","204","25","306","Current year appeal","1","residential",,"31765","9785","41550","31765","9785","41550","no change","16","This is due to your property's uniformity with comparable properties.",,,,,,,"043220002400002003306A1"
"04322020010000","2003","234","25","111","Current year appeal","1","residential",,"24071","6129","30200","24071","6129","30200","no change","27","This is due to an analysis of the sale of the property.",,,,,,,"043220200100002003111A1"
"04322020100000","2003","278","25","711","Current year appeal","1","residential",,"38362","8668","47030","34717","8668","43385","no change","16","This is due to your property's uniformity with comparable properties.",,,,,,,"043220201000002003711A1"
"04322020140000","2003","278","25","313","Current year appeal","1","residential",,"42890","7408","50298","42890","7408","50298","no change","16","This is due to your property's uniformity with comparable properties.",,,,,,,"043220201400002003313A1"
"04322040320000","2003","278","25","219","Current year appeal","1","residential",,"39940","7599","47539","38343","7599","45942","change","1","This is the result of an analysis of comparable properties.",,,,,,,"043220403200002003219A1"
"04322050230000","2003","234","25","773","Current year appeal","1","residential",,"34340","8536","42876","32338","8536","40874","change","1","This is the result of an analysis of comparable properties.","16","This is due to your property's uniformity with comparable properties.",,,,,"043220502300002003773A1"
"04322080090000","2003","204","25","127","Current year appeal","1","residential",,"30069","9246","39315","25995","9246","35241","change","27","This is due to an analysis of the sale of the property.","1","This is the result of an analysis of comparable properties.",,,,,"043220800900002003127A1"
"04324010640000","2003","212","25","320","Current year appeal","1","residential",,"30284","9856","40140","30284","9856","40140","no change","16","This is due to your property's uniformity with comparable properties.",,,,,,,"043240106400002003320A1"
"04324010720000","2003","212","25","729","Current year appeal","1","residential",,"29795","9861","39656","29795","9861","39656","no change","16","This is due to your property's uniformity with comparable properties.",,,,,,,"043240107200002003729A1"
"04324010770000","2003","212","25","495","Current year appeal","1","residential",,"22550","9122","31672","22550","9122","31672","no change","16","This is due to your property's uniformity with comparable properties.",,,,,,,"043240107700002003495A1"
"04324011620000","2003","204","25","81","Current year appeal","1","residential",,"32246","10841","43087","32246","10841","43087","no change","17","This is due to your property's uniformity with comparable properties. The analysis included an update of your property's characteristics.",,,,,,,"04324011620000200381A1"
