activity_year,group,income_band,applications,denials
2021,Race not available,$150k+,8839,1018
2021,Race not available,$50k-$75k,5218,1326
2021,Race not available,$75k-$100k,5024,1105
2021,Race not available,<$50k,3652,1546
2021,Race not available,unknown,6943,946
2021,White (non-Hispanic),$100k-$150k,26497,2261
2021,White (non-Hispanic),$150k+,39692,2839
2021,White (non-Hispanic),$50k-$75k,17268,2199
2021,White (non-Hispanic),$75k-$100k,18368,1908
2021,White (non-Hispanic),<$50k,10214,2842
2021,White (non-Hispanic),unknown,3834,460
2022,Asian,$100k-$150k,2226,347
2022,Asian,$150k+,3067,440
2022,Asian,$50k-$75k,1413,299
2022,Asian,$75k-$100k,1538,295
2022,Asian,<$50k,875,375
2022,Asian,unknown,203,32
2022,Black,$100k-$150k,3856,1170
2022,Black,$150k+,2127,618
2022,Black,$50k-$75k,5965,1931
2022,Black,$75k-$100k,4450,1379
2022,Black,<$50k,4520,2237
2022,Black,unknown,502,119
2022,Latino/Hispanic,$100k-$150k,3729,927
2022,Latino/Hispanic,$150k+,1921,454
2022,Latino/Hispanic,$50k-$75k,7007,1761
2022,Latino/Hispanic,$75k-$100k,5010,1166
2022,Latino/Hispanic,<$50k,4863,1923
2022,Latino/Hispanic,unknown,464,83
2022,Other / Joint,$100k-$150k,590,97
2022,Other / Joint,$150k+,1372,155
2022,Other / Joint,$50k-$75k,288,80
2022,Other / Joint,$75k-$100k,309,74
2022,Other / Joint,<$50k,152,82
2022,Other / Joint,unknown,56,6
2022,Race not available,$100k-$150k,3563,933
2022,Race not available,$150k+,4802,761
2022,Race not available,$50k-$75k,3106,1063
2022,Race not available,$75k-$100k,2752,828
2022,Race not available,<$50k,2309,1189
2022,Race not available,unknown,4913,559
2022,White (non-Hispanic),$100k-$150k,11901,1618
2022,White (non-Hispanic),$150k+,19044,2088
2022,White (non-Hispanic),$50k-$75k,8077,1616
2022,White (non-Hispanic),$75k-$100k,8195,1293
2022,White (non-Hispanic),<$50k,5121,1938
2022,White (non-Hispanic),unknown,817,91
2023,Asian,$100k-$150k,1673,349
2023,Asian,$150k+,2563,420
2023,Asian,$50k-$75k,834,212
2023,Asian,$75k-$100k,1142,272
2023,Asian,<$50k,491,235
2023,Asian,unknown,131,31
2023,Black,$100k-$150k,3252,1118
2023,Black,$150k+,1762,598
2023,Black,$50k-$75k,4056,1529
2023,Black,$75k-$100k,3479,1164
2023,Black,<$50k,2729,1533
2023,Black,unknown,279,114
2023,Latino/Hispanic,$100k-$150k,3706,1031
2023,Latino/Hispanic,$150k+,1793,493
2023,Latino/Hispanic,$50k-$75k,5130,1457
2023,Latino/Hispanic,$75k-$100k,4563,1137
2023,Latino/Hispanic,<$50k,2992,1398
2023,Latino/Hispanic,unknown,243,95
2023,Other / Joint,$100k-$150k,386,70
2023,Other / Joint,$150k+,988,139
2023,Other / Joint,$50k-$75k,172,58
2023,Other / Joint,$75k-$100k,229,63
2023,Other / Joint,<$50k,97,63
2023,Other / Joint,unknown,31,1
2023,Race not available,$100k-$150k,2535,765
2023,Race not available,$150k+,3607,693
2023,Race not available,$50k-$75k,1918,693
2023,Race not available,$75k-$100k,2133,658
2023,Race not available,<$50k,1411,867
2023,Race not available,unknown,4497,506
2023,White (non-Hispanic),$100k-$150k,7890,1481
2023,White (non-Hispanic),$150k+,13455,1784
2023,White (non-Hispanic),$50k-$75k,4728,1120
2023,White (non-Hispanic),$75k-$100k,5676,1123
2023,White (non-Hispanic),<$50k,2847,1346
2023,White (non-Hispanic),unknown,518,92
