activity_year,group,loan_band,applications,denials
2023,Latino/Hispanic,<$150k,7433,3498
2023,Other / Joint,$150k-$300k,488,90
2023,Other / Joint,$300k-$500k,505,49
2023,Other / Joint,$500k+,400,24
2023,Other / Joint,<$150k,510,231
2023,Race not available,$150k-$300k,5108,1203
2023,Race not available,$300k-$500k,2681,430
2023,Race not available,$500k+,2621,262
2023,Race not available,<$150k,5691,2287
2023,White (non-Hispanic),$150k-$300k,10971,1728
2023,White (non-Hispanic),$300k-$500k,7559,764
2023,White (non-Hispanic),$500k+,4912,410
2023,White (non-Hispanic),<$150k,11672,4044
