"unique_id","indicator_id","name","measure","measure_info","geo_type_name","geo_join_id","geo_place_name","time_period","start_date","data_value","message"
"650951","386","Ozone (O3)","Mean","ppb","UHF42","402","West Queens","Summer 2019","2019-06-01T00:00:00.000","29.95",
"650990","386","Ozone (O3)","Mean","ppb","UHF34","410","Rockaways","Summer 2019","2019-06-01T00:00:00.000","37.44",
"643340","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","201","Greenpoint","Summer 2019","2019-06-01T00:00:00.000","19.22",
"650995","386","Ozone (O3)","Mean","ppb","UHF34","501502","Northern SI","Summer 2019","2019-06-01T00:00:00.000","28.46",
"649673","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","104","Pelham - Throgs Neck","Summer 2019","2019-06-01T00:00:00.000","7.81",
"651032","386","Ozone (O3)","Mean","ppb","CD","310","Bay Ridge and Dyker Heights (CD10)","Summer 2019","2019-06-01T00:00:00.000","29.74",
"649985","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","307","Sunset Park (CD7)","Summer 2019","2019-06-01T00:00:00.000","8.9",
"643430","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","410","Rockaways","Summer 2019","2019-06-01T00:00:00.000","7.33",
"649931","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","201","Mott Haven and Melrose (CD1)","Summer 2019","2019-06-01T00:00:00.000","8.86",
"651049","386","Ozone (O3)","Mean","ppb","CD","409","Kew Gardens and Woodhaven (CD9)","Summer 2019","2019-06-01T00:00:00.000","32.37",
"643706","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","411","Bayside and Little Neck (CD11)","Summer 2019","2019-06-01T00:00:00.000","12.67",
"650952","386","Ozone (O3)","Mean","ppb","UHF42","403","Flushing - Clearview","Summer 2019","2019-06-01T00:00:00.000","31.3",
"650036","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","406","Rego Park and Forest Hills (CD6)","Summer 2019","2019-06-01T00:00:00.000","7.73",
"650042","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","408","Hillcrest and Fresh Meadows (CD8)","Summer 2019","2019-06-01T00:00:00.000","7.39",
"650018","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","318","Flatlands and Canarsie (CD18)","Summer 2019","2019-06-01T00:00:00.000","7.68",
"650015","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","317","East Flatbush (CD17)","Summer 2019","2019-06-01T00:00:00.000","7.98",
"649901","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","103","Lower East Side and Chinatown (CD3)","Summer 2019","2019-06-01T00:00:00.000","9.92",
"650030","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","404","Elmhurst and Corona (CD4)","Summer 2019","2019-06-01T00:00:00.000","8.08",
"649898","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","102","Greenwich Village and Soho (CD2)","Summer 2019","2019-06-01T00:00:00.000","11.07",
"650992","386","Ozone (O3)","Mean","ppb","UHF34","306308","Chelsea-Village","Summer 2019","2019-06-01T00:00:00.000","24.24",
"650991","386","Ozone (O3)","Mean","ppb","UHF34","305307","Upper East Side-Gramercy","Summer 2019","2019-06-01T00:00:00.000","24.98",
"643451","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF34","103","Fordham - Bronx Pk","Summer 2019","2019-06-01T00:00:00.000","12.17",
"651057","386","Ozone (O3)","Mean","ppb","CD","503","Tottenville and Great Kills (CD3)","Summer 2019","2019-06-01T00:00:00.000","30.04",
"651043","386","Ozone (O3)","Mean","ppb","CD","403","Jackson Heights (CD3)","Summer 2019","2019-06-01T00:00:00.000","30.34",
"649676","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","105","Crotona -Tremont","Summer 2019","2019-06-01T00:00:00.000","8.27",
"643514","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF34","407","Southwest Queens","Summer 2019","2019-06-01T00:00:00.000","11.69",
"651027","386","Ozone (O3)","Mean","ppb","CD","305","East New York and Starrett City (CD5)","Summer 2019","2019-06-01T00:00:00.000","32.99",
"650923","386","Ozone (O3)","Mean","ppb","UHF42","102","Northeast Bronx","Summer 2019","2019-06-01T00:00:00.000","30.34",
"651056","386","Ozone (O3)","Mean","ppb","CD","502","South Beach and Willowbrook (CD2)","Summer 2019","2019-06-01T00:00:00.000","29.51",
"651055","386","Ozone (O3)","Mean","ppb","CD","501","St. George and Stapleton (CD1)","Summer 2019","2019-06-01T00:00:00.000","27.76",
"650961","386","Ozone (O3)","Mean","ppb","UHF42","502","Stapleton - St. George","Summer 2019","2019-06-01T00:00:00.000","29.1",
"649739","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","308","Greenwich Village - SoHo","Summer 2019","2019-06-01T00:00:00.000","10.79",
"650921","386","Ozone (O3)","Mean","ppb","Borough","5","Staten Island","Summer 2019","2019-06-01T00:00:00.000","29.29",
"649736","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","307","Gramercy Park - Murray Hill","Summer 2019","2019-06-01T00:00:00.000","11.11",
"643334","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","106","High Bridge - Morrisania","Summer 2019","2019-06-01T00:00:00.000","15.43",
"649652","365","Fine particles (PM 2.5)","Mean","mcg/m3","Borough","2","Brooklyn","Summer 2019","2019-06-01T00:00:00.000","8.19",
"650996","386","Ozone (O3)","Mean","ppb","UHF34","503504","Southern SI","Summer 2019","2019-06-01T00:00:00.000","29.64",
"643541","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF34","503504","Southern SI","Summer 2019","2019-06-01T00:00:00.000","8.76",
"650993","386","Ozone (O3)","Mean","ppb","UHF34","309310","Union Square-Lower Manhattan","Summer 2019","2019-06-01T00:00:00.000","25.41",
"649706","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","208","Canarsie - Flatlands","Summer 2019","2019-06-01T00:00:00.000","7.71",
"651046","386","Ozone (O3)","Mean","ppb","CD","406","Rego Park and Forest Hills (CD6)","Summer 2019","2019-06-01T00:00:00.000","31.03",
"651048","386","Ozone (O3)","Mean","ppb","CD","408","Hillcrest and Fresh Meadows (CD8)","Summer 2019","2019-06-01T00:00:00.000","31.63",
"643607","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","208","Riverdale and Fieldston (CD8)","Summer 2019","2019-06-01T00:00:00.000","10.37",
"650962","386","Ozone (O3)","Mean","ppb","UHF42","503","Willowbrook","Summer 2019","2019-06-01T00:00:00.000","28.8",
"649682","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","107","Hunts Point - Mott Haven","Summer 2019","2019-06-01T00:00:00.000","8.71",
"643559","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","104","Clinton and Chelsea (CD4)","Summer 2019","2019-06-01T00:00:00.000","23.54",
"643370","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","211","Williamsburg - Bushwick","Summer 2019","2019-06-01T00:00:00.000","16.66",
"643601","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","206","Belmont and East Tremont (CD6)","Summer 2019","2019-06-01T00:00:00.000","13.87",
"651052","386","Ozone (O3)","Mean","ppb","CD","412","Jamaica and Hollis (CD12)","Summer 2019","2019-06-01T00:00:00.000","33.07",
"643613","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","210","Throgs Neck and Co-op City (CD10)","Summer 2019","2019-06-01T00:00:00.000","12.27",
"649742","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","309","Union Square - Lower East Side","Summer 2019","2019-06-01T00:00:00.000","10.09",
"650960","386","Ozone (O3)","Mean","ppb","UHF42","501","Port Richmond","Summer 2019","2019-06-01T00:00:00.000","27.27",
"643703","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","410","South Ozone Park and Howard Beach (CD10)","Summer 2019","2019-06-01T00:00:00.000","11.1",
"643709","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","412","Jamaica and Hollis (CD12)","Summer 2019","2019-06-01T00:00:00.000","13.28",
"649829","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF34","210","Coney Island - Sheepshead Bay","Summer 2019","2019-06-01T00:00:00.000","7.64",
"649994","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","310","Bay Ridge and Dyker Heights (CD10)","Summer 2019","2019-06-01T00:00:00.000","7.94",
"649763","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","406","Fresh Meadows","Summer 2019","2019-06-01T00:00:00.000","7.35",
"649859","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF34","407","Southwest Queens","Summer 2019","2019-06-01T00:00:00.000","7.54",
"649820","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF34","207","East Flatbush - Flatbush","Summer 2019","2019-06-01T00:00:00.000","7.87",
"649700","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","206","Borough Park","Summer 2019","2019-06-01T00:00:00.000","7.91",
"649727","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","304","Upper West Side","Summer 2019","2019-06-01T00:00:00.000","8.55",
"650959","386","Ozone (O3)","Mean","ppb","UHF42","410","Rockaways","Summer 2019","2019-06-01T00:00:00.000","37.44",
"650946","386","Ozone (O3)","Mean","ppb","UHF42","307","Gramercy Park - Murray Hill","Summer 2019","2019-06-01T00:00:00.000","23.96",
"643721","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","502","South Beach and Willowbrook (CD2)","Summer 2019","2019-06-01T00:00:00.000","9.66",
"643718","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","501","St. George and Stapleton (CD1)","Summer 2019","2019-06-01T00:00:00.000","13.46",
"649679","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","106","High Bridge - Morrisania","Summer 2019","2019-06-01T00:00:00.000","8.27",
"643685","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","404","Elmhurst and Corona (CD4)","Summer 2019","2019-06-01T00:00:00.000","14.98",
"643361","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","208","Canarsie - Flatlands","Summer 2019","2019-06-01T00:00:00.000","9.24",
"643421","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","407","Southwest Queens","Summer 2019","2019-06-01T00:00:00.000","11.69",
"649649","365","Fine particles (PM 2.5)","Mean","mcg/m3","Borough","1","Bronx","Summer 2019","2019-06-01T00:00:00.000","7.99",
"650009","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","315","Sheepshead Bay (CD15)","Summer 2019","2019-06-01T00:00:00.000","7.66",
"650000","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","312","Borough Park (CD12)","Summer 2019","2019-06-01T00:00:00.000","7.96",
"650054","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","412","Jamaica and Hollis (CD12)","Summer 2019","2019-06-01T00:00:00.000","7.48",
"649685","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","201","Greenpoint","Summer 2019","2019-06-01T00:00:00.000","9.93",
"649904","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","104","Clinton and Chelsea (CD4)","Summer 2019","2019-06-01T00:00:00.000","10.41",
"649952","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","208","Riverdale and Fieldston (CD8)","Summer 2019","2019-06-01T00:00:00.000","7.75",
"649691","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","203","Bedford Stuyvesant - Crown Heights","Summer 2019","2019-06-01T00:00:00.000","8.11",
"649688","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","202","Downtown - Heights - Slope","Summer 2019","2019-06-01T00:00:00.000","8.9",
"643475","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF34","207","East Flatbush - Flatbush","Summer 2019","2019-06-01T00:00:00.000","12.75",
"650003","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","313","Coney Island (CD13)","Summer 2019","2019-06-01T00:00:00.000","7.6",
"649796","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF34","103","Fordham - Bronx Pk","Summer 2019","2019-06-01T00:00:00.000","7.77",
"643382","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","304","Upper West Side","Summer 2019","2019-06-01T00:00:00.000","18.84",
"643634","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","305","East New York and Starrett City (CD5)","Summer 2019","2019-06-01T00:00:00.000","11.56",
"649769","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","408","Jamaica","Summer 2019","2019-06-01T00:00:00.000","7.48",
"649790","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF34","101","Kingsbridge - Riverdale","Summer 2019","2019-06-01T00:00:00.000","7.78",
"649826","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF34","209","Bensonhurst - Bay Ridge","Summer 2019","2019-06-01T00:00:00.000","7.79",
"643352","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","205","Sunset Park","Summer 2019","2019-06-01T00:00:00.000","16.21",
"643679","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","402","Woodside and Sunnyside (CD2)","Summer 2019","2019-06-01T00:00:00.000","18.09",
"649940","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","204","Highbridge and Concourse (CD4)","Summer 2019","2019-06-01T00:00:00.000","8.33",
"649976","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","304","Bushwick (CD4)","Summer 2019","2019-06-01T00:00:00.000","8.56",
"650066","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","502","South Beach and Willowbrook (CD2)","Summer 2019","2019-06-01T00:00:00.000","7.35",
"643712","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","413","Queens Village (CD13)","Summer 2019","2019-06-01T00:00:00.000","13.03",
"649883","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF34","501502","Northern SI","Summer 2019","2019-06-01T00:00:00.000","7.56",
"650048","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","410","South Ozone Park and Howard Beach (CD10)","Summer 2019","2019-06-01T00:00:00.000","7.42",
"649880","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF34","404406","Bayside Little Neck-Fresh Meadows","Summer 2019","2019-06-01T00:00:00.000","7.31",
"649916","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","108","Upper East Side (CD8)","Summer 2019","2019-06-01T00:00:00.000","9.17",
"643682","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","403","Jackson Heights (CD3)","Summer 2019","2019-06-01T00:00:00.000","14.43",
"643631","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","304","Bushwick (CD4)","Summer 2019","2019-06-01T00:00:00.000","14.81",
"643328","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","104","Pelham - Throgs Neck","Summer 2019","2019-06-01T00:00:00.000","12.8",
"643676","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","401","Long Island City and Astoria (CD1)","Summer 2019","2019-06-01T00:00:00.000","15.61",
"649934","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","202","Hunts Point and Longwood (CD2)","Summer 2019","2019-06-01T00:00:00.000","9",
"650988","386","Ozone (O3)","Mean","ppb","UHF34","408","Jamaica","Summer 2019","2019-06-01T00:00:00.000","32.83",
"650968","386","Ozone (O3)","Mean","ppb","UHF34","201","Greenpoint","Summer 2019","2019-06-01T00:00:00.000","27.77",
"643478","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF34","208","Canarsie - Flatlands","Summer 2019","2019-06-01T00:00:00.000","9.24",
"643331","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","105","Crotona -Tremont","Summer 2019","2019-06-01T00:00:00.000","14.38",
"649778","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","501","Port Richmond","Summer 2019","2019-06-01T00:00:00.000","7.79",
"649877","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF34","309310","Union Square-Lower Manhattan","Summer 2019","2019-06-01T00:00:00.000","9.91",
"650069","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","503","Tottenville and Great Kills (CD3)","Summer 2019","2019-06-01T00:00:00.000","7.26",
"643568","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","107","Upper West Side (CD7)","Summer 2019","2019-06-01T00:00:00.000","18.89",
"650051","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","411","Bayside and Little Neck (CD11)","Summer 2019","2019-06-01T00:00:00.000","7.28",
"643319","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","101","Kingsbridge - Riverdale","Summer 2019","2019-06-01T00:00:00.000","10.39",
"650949","386","Ozone (O3)","Mean","ppb","UHF42","310","Lower Manhattan","Summer 2019","2019-06-01T00:00:00.000","24.72",
