"id","tif_district","project_name","address","developer","project_description","cdc_date","coc_date","approved_amount","total_project_cost","tif_subsidy_percentage","affordable_units","ward","community_area","x_coordinate","y_coordinate","latitude","longitude","location"
"14920","Jefferson Park Business District","IGA - CPD - Wilson (Frank) Playground","4630 N Milwaukee Av","Chicago Park District","Located in Portage Park, the project will repair and replace playground equipment and new spray features.","2021-03-24T00:00:00.000","2022-10-19T00:00:00.000","345000","345000","100",,"45","Portage Park","1140651.7760141303","1930281.6245982465","41.9647828856","-87.7582487001","
,  
(41.96478288558495, -87.75824870012931)"
"1769","Jefferson Park Business District","IGA - CPD - Park 0094 - Jefferson Memorial","4822 N Long Av","Chicago Park District","The TIF-Funded Improvements for the Project include the following: demolition of the existing playground, design of new playground, installation of drainage, utilities, surfacing, play equipment and furnishings, spray feature, and landscaping.""","2011-06-20T00:00:00.000",,"600000","600000","100",,"45","Jefferson Park","1139458.1377520296","1931593.7368886438","41.9684053373","-87.7626053251","
,  
(41.96840533730257, -87.76260532507628)"
"11980",,"IGA - CBE - New South Loop Elementary School","1601 S Dearborn St","Chicago Public Schools","Located in the Near South Side community area, the project includes the acquisition and site preparation of 1601 S. Dearborn Street for the new South Loop Elementary School.","2016-09-14T00:00:00.000",,"11000000","11000000","100",,"3","Near South Side","1176215.2394075769","1892394.1759296241","41.8600886748","-87.6286361225","
,  
(41.86008867484919, -87.62863612245982)"
"14908","Wilson Yard","IGA - CPD - Broncho Billy Playground","4437 N Magnolia Av","Chicago Park District","An intergovernmental agreement between the City of Chicago and Chicago Park District.","2021-03-24T00:00:00.000",,"175000","175000","100",,"46","Uptown","1167150.4273844196","1929755.3455388641","41.9628093747","-87.6608351564","
,  
(41.96280937468903, -87.66083515635498)"
"15361","Elston/Armstrong Industrial Corridor","Farnsworth ES - Roof/Windows & Modular Refurbishment","5414 N Linder Av","CPS","Provide window replacement for main and modular buildings + modular roof replacement and refurbish existing modular building including exterior, mechanical and interior finishes.","2022-07-20T00:00:00.000",,"4980000","4980000","100",,"45","Jefferson Park","1138478.050115605","1935743.024901423","41.9798091994","-87.7661080909","
,  
(41.97980919943396, -87.76610809089279)"
"13979","Roosevelt/Racine","IGA - CPD - Fosco Park","1313 S Throop St","Chicago Park District","Located in Near West Side, the project includes major rehabilitation in two phases. Phase 1 work is currently underway and is limited to partial roof replacement, parapet wall repair and pool de-humidification. Phase 2 work will address the other metal roofs, masonry and gym floor repairs.","2021-03-24T00:00:00.000",,"1500000","1500000","100",,"28","Near West Side","1168021.0625267029","1894038.6958987205","41.8647819947","-87.6586671441","
,  
(41.86478199470481, -87.6586671441197)"
"11592","Ewing Avenue","IGA-CBE-Gallistel ES","10347 S Ewing Av","Chicago Public Schools","Located in the East Side, the project includes exterior tuck pointing, full roof replacement, air conditioning units and installation as well interior repairs and improvements including replacement of damaged flooring, replacing non-functional classroom doors, and water damaged wall and ceiling repairs.","2015-10-14T00:00:00.000",,"2700000","2700000","100",,"10","East Side","1202203.3526853186","1836767.7466921883","41.7068223163","-87.5351386051","
,  
(41.70682231634241, -87.53513860508505)"
"11923","53rd Street","Hyatt Place Chicago At Hyde Park TIF","5223 S Harper Av","Smart Hotels/Olympia Chicago","Located in the Hyde Park community, the project will construct an 84,000 square feet, six story hotel with 131 rooms and will also include 50 underground parking spaces. The amenities include a small work out facility, swimming pool, conference rooms, and meeting facilities for business travelers and community groups.","2012-06-06T00:00:00.000","2014-09-15T00:00:00.000","2901146","28500090","10.18",,"4","Hyde Park","1187223.2888383404","1870676.4059224662","41.8002388227","-87.5889199887","
,  
(41.800238822724396, -87.58891998870733)"
"16348","Montrose/Clarendon","Clarendon Park IGA Amendment No 2","4501 N Clarendon Av","Chicago Park District","The project includes remodeling of the Clarendon Community Center, to include ADA access improvements, new roof, installation of elevator and remodeling of the interior spaces.  Park District is requesting additional $1.4 million to complete the project.","2023-03-15T00:00:00.000",,"1400000","1400000","100",,"46","Uptown","1170143.6498576568","1930108.2224104542","41.9637126885","-87.6498199152","
,  
(41.96371268845581, -87.64981991524311)"
"1659","River West","WaterSaver Faucet","708 W Erie St","Raffin Properties, Inc.","Located in West Town, the project consists of rehabilitation and modernization of an existing 79,200 square floor manufacturing facility and a 45,000 square feet, 3-story expansion.","2011-02-09T00:00:00.000","2015-05-22T00:00:00.000","5200000","26227785","19.83",,"27","West Town","1171288.4578052426","1904530.5782307724","41.8935013527","-87.6463643112","
,  
(41.89350135273844, -87.64636431115713)"
