start_station_id,start_station_name,trips,member_trips,casual_trips,classic_trips,electric_trips,docked_trips,rtype_other_trips,mean_start_lat,mean_start_lng,coord_n,dist_sum_m,dist_n
TA1307000130,Morgan St & Polk St,6593,5596,997,3594,2999,0,0,41.871792,-87.651062,6593,8570920.6,6593
331,Halsted St & Clybourn Ave,6516,4491,2025,3693,2823,0,0,41.909656,-87.648128,6516,15019525.9,6513
TA1305000014,Clark St & Wrightwood Ave,6498,4366,2132,3756,2742,0,0,41.929557,-87.643136,6498,14687371.4,6491
TA1307000120,Green St & Madison St,6481,4690,1791,3673,2808,0,0,41.881867,-87.649238,6481,12322965.2,6472
13278,Broadway & Cornelia Ave,6450,4376,2074,3447,3003,0,0,41.945520,-87.646461,6450,15364709.6,6445
TA1305000006,Dearborn St & Monroe St,6439,4558,1881,3751,2688,0,0,41.881237,-87.629567,6439,12833396.9,6436
TA1305000041,Damen Ave & Pierce Ave,6367,4163,2204,3271,3096,0,0,41.909406,-87.677688,6367,15369443.7,6363
13431,Adler Planetarium,6259,1657,4602,4561,1698,0,0,41.866099,-87.607278,6259,14977868.8,6251
TA1309000066,Ravenswood Ave & Lawrence Ave,6145,4448,1697,2832,3313,0,0,41.968452,-87.674224,6145,12269543.0,6136
TA1309000049,DuSable Lake Shore Dr & Belmont Ave,6107,3480,2627,3657,2450,0,0,41.940759,-87.639182,6107,18345933.8,6094
TA1305000003,Fairbanks Ct & Grand Ave,6047,3574,2473,3768,2279,0,0,41.891838,-87.620585,6047,11058329.9,6038
TA1309000058,Lincoln Ave & Fullerton Ave,6042,4050,1992,3300,2742,0,0,41.924162,-87.646371,6042,13849282.5,6037
SL-008,Federal St & Polk St,6004,3993,2011,3860,2144,0,0,41.872083,-87.629565,6004,9898692.8,5998
TA1308000012,Montrose Harbor,6000,2437,3563,4084,1916,0,0,41.963977,-87.638184,6000,17145100.7,5988
TA1309000024,Clark St & Schiller St,5979,3929,2050,3643,2336,0,0,41.907979,-87.631513,5979,12741920.5,5972
13158,Peoria St & Jackson Blvd,5903,4522,1381,3510,2393,0,0,41.877644,-87.649594,5903,9409821.1,5895
13332,Loomis St & Lexington St,5881,4984,897,3786,2095,0,0,41.872227,-87.661359,5881,8004563.8,5880
TA1305000025,Franklin St & Jackson Blvd,5879,3822,2057,3500,2379,0,0,41.877732,-87.635312,5879,10903812.8,5865
13193,Larrabee St & Webster Ave,5846,3524,2322,3434,2412,0,0,41.921816,-87.644121,5846,12581477.1,5842
TA1309000037,Kimbark Ave & 53rd St,5785,4269,1516,4082,1703,0,0,41.799532,-87.594809,5785,7406623.6,5784
