school_id,short_name,long_name,primary_category,address,zip,school_latitude,school_longitude,student_count_total,student_count_low_income,student_count_black,student_count_hispanic,student_count_white,overall_rating,school_year,community_area
609912,FARNSWORTH,James B Farnsworth Elementary School,ES,5414 N LINDER AVE,60630,41.97979,-87.766072,602,354,11,242,243,Level 1,School Year 2016-2017,JEFFERSON PARK
610193,NEW SULLIVAN,William K New Sullivan Elementary School,ES,8331 S MACKINAW AVE,60617,41.743829,-87.542928,509,453,377,121,7,Level 2+,School Year 2016-2017,SOUTH CHICAGO
609792,BATEMAN,Newton Bateman Elementary School,ES,4220 N RICHMOND ST,60618,41.95822,-87.702151,1007,770,28,806,110,Level 1+,School Year 2016-2017,IRVING PARK
610245,DOUGLASS HS,Frederick A Douglass Academy High School,HS,543 N WALLER AVE,60644,41.890369,-87.767668,103,101,100,3,0,Level 3,School Year 2016-2017,AUSTIN
610252,DETT,Robert Nathaniel Dett Elementary School,ES,2131 W MONROE ST,60612,41.87987,-87.680315,307,277,291,10,0,Level 2,School Year 2016-2017,NEAR WEST SIDE
609718,KENNEDY HS,John F Kennedy High School,HS,6325 W 56TH ST,60638,41.789961,-87.78084,1686,1241,65,1230,351,Level 2+,School Year 2016-2017,GARFIELD RIDGE
400078,U OF C - WOODSON,University of Chicago - Carter G. Woodson,MS,4444 S EVANS AVE,60653,41.813547,-87.608426,215,179,213,1,0,Level 1,School Year 2016-2017,GRAND BOULEVARD
610390,RICKOVER MILITARY HS,Hyman G Rickover Naval Academy High School,HS,5900 N GLENWOOD AVE,60660,41.989021,-87.665789,556,494,52,414,46,Level 1,School Year 2016-2017,EDGEWATER
609799,BELL,Alexander Graham Bell Elementary School,ES,3730 N OAKLEY AVE,60618,41.94953,-87.686018,956,132,23,170,573,Level 1+,School Year 2016-2017,NORTH CENTER
400165,LEARN - MIDDLE,L.E.A.R.N. - Middle School Campus,ES,3021 W CARROLL AVE,60612,41.887413,-87.702704,311,293,300,8,0,Level 1+,School Year 2016-2017,EAST GARFIELD PARK
609852,CHAPPELL,Eliza Chappell Elementary School,ES,2135 W FOSTER AVE,60625,41.975894,-87.683264,568,357,30,326,130,Level 1+,School Year 2016-2017,LINCOLN SQUARE
400075,U OF C - DONOGHUE,University of Chicago - Donoghue,ES,707 E 37TH ST,60653,41.827726,-87.608501,525,413,517,5,0,Level 2+,School Year 2016-2017,OAKLAND
609826,CASTELLANOS,Rosario Castellanos Elementary School,ES,2524 S CENTRAL PARK AVE,60623,41.84545,-87.714927,603,586,23,575,1,Level 2,School Year 2016-2017,SOUTH LAWNDALE
609786,AVALON PARK,Avalon Park Elementary School,ES,8045 S KENWOOD AVE,60619,41.748247,-87.591654,289,250,285,0,2,Level 1+,School Year 2016-2017,AVALON PARK
609764,JUAREZ HS,Benito Juarez Community Academy High School,HS,1450 W CERMAK RD,60608,41.852667,-87.663732,1739,1659,58,1644,12,Level 2+,School Year 2016-2017,LOWER WEST SIDE
609805,JOPLIN,Scott Joplin Elementary School,ES,7931 S HONORE ST,60620,41.749339,-87.669366,406,351,398,5,0,Level 1,School Year 2016-2017,AUBURN GRESHAM
609972,HAUGAN,Helge A Haugan Elementary School,ES,4540 N HAMLIN AVE,60625,41.964029,-87.723128,912,791,40,759,58,Level 1,School Year 2016-2017,ALBANY PARK
609692,SIMEON HS,Neal F Simeon Career Academy High School,HS,8147 S VINCENNES AVE,60620,41.745781,-87.63541,1339,1233,1323,12,1,Level 1,School Year 2016-2017,CHATHAM
610002,HOYNE,Thomas Hoyne Elementary School,ES,8905 S CRANDON AVE,60617,41.733338,-87.568228,251,195,242,7,0,Level 1,School Year 2016-2017,CALUMET HEIGHTS
610060,JACKSON A,Andrew Jackson Elementary Language Academy,ES,1340 W HARRISON ST,60607,41.8743,-87.660985,550,231,179,172,84,Level 1+,School Year 2016-2017,NEAR WEST SIDE
610180,SMYTH,John M Smyth Elementary School,ES,1059 W 13TH ST,60608,41.865351,-87.653445,462,387,428,25,4,Level 1,School Year 2016-2017,NEAR WEST SIDE
610215,MADERO,Francisco I Madero Middle School,MS,3202 W 28TH ST,60623,41.840957,-87.705064,334,326,0,332,1,Level 1,School Year 2016-2017,SOUTH LAWNDALE
609813,BROWNELL,Charles S Brownell Elementary School,ES,6741 S MICHIGAN AVE,60637,41.77162,-87.621746,216,190,211,3,1,Level 2+,School Year 2016-2017,GREATER GRAND CROSSING
610010,JAHN,Friedrich L. Jahn Elementary of the Fine Arts,ES,3149 N WOLCOTT AVE,60657,41.939247,-87.67581,308,178,46,178,68,Level 2,School Year 2016-2017,NORTH CENTER
400146,KIPP - ACADEMY,KIPP Chicago Charter School - KIPP Create,ES,4818 W OHIO ST,60644,41.891816,-87.746614,345,321,340,5,0,Level 2,School Year 2016-2017,AUSTIN
609821,BURNHAM,Burnham Elementary Inclusive Academy,ES,9928 S CRANDON AVE,60617,41.714402,-87.567131,522,466,502,16,2,Level 2+,School Year 2016-2017,SOUTH DEERING
609917,FERNWOOD,Fernwood Elementary School,ES,10041 S UNION AVE,60628,41.711184,-87.640414,302,263,300,1,0,Level 1,School Year 2016-2017,WASHINGTON HEIGHTS
610580,MAGIC JOHNSON - HUMBOLDT PK HS,Magic Johnson- Humboldt Park HS,HS,2421 W DIVISION,60622,41.902925,-87.687889,155,149,53,94,7,Level 2+,School Year 2016-2017,WEST TOWN
610052,MANN,Horace Mann Elementary School,ES,8050 S CHAPPEL AVE,60617,41.748274,-87.574816,339,295,331,6,1,Level 2+,School Year 2016-2017,SOUTH CHICAGO
609674,CHICAGO VOCATIONAL HS,Chicago Vocational Career Academy High School,HS,2100 E 87TH ST,60617,41.737174,-87.573268,885,842,858,19,1,Level 2+,School Year 2016-2017,AVALON PARK
610086,MOUNT VERNON,Mount Vernon Elementary School,ES,10540 S MORGAN ST,60643,41.701952,-87.647652,232,201,230,1,0,Level 2+,School Year 2016-2017,WASHINGTON HEIGHTS
