school_name,street_address,city,state,primary_category,closure_status,latitude,longitude,zip,community_area,matched_address
Paderewski Elementary Learning Academy,2221 S Lawndale Ave,Chicago,IL,ES,closed,41.850968,-87.717337,60623,SOUTH LAWNDALE,"2221 S LAWNDALE AVE, CHICAGO, IL, 60623"
Parkman Elementary School,245 W 51st St,Chicago,IL,ES,closed,41.801747,-87.632275,60609,FULLER PARK,"245 W 51ST ST, CHICAGO, IL, 60609"
Peabody Elementary School,1444 W Augusta Blvd,Chicago,IL,ES,closed,41.899821,-87.663942,60642,WEST TOWN,"1444 W AUGUSTA BLVD, CHICAGO, IL, 60642"
Pershing West Middle School,3200 S Calumet Ave,Chicago,IL,MS,closed,41.836524,-87.618305,60616,DOUGLAS,"3200 S CALUMET AVE, CHICAGO, IL, 60616"
Pope Elementary School,1852 S Albany Ave,Chicago,IL,ES,closed,41.855981,-87.702930,60623,NORTH LAWNDALE,"1852 S ALBANY AVE, CHICAGO, IL, 60623"
Ross Elementary School,6059 S Wabash Ave,Chicago,IL,ES,closed,41.784493,-87.623743,60637,WASHINGTON PARK,"6059 S WABASH AVE, CHICAGO, IL, 60637"
Ryerson Elementary School,646 N Lawndale Ave,Chicago,IL,ES,closed,41.892625,-87.718747,60624,HUMBOLDT PARK,"646 N LAWNDALE AVE, CHICAGO, IL, 60624"
Sexton Elementary School,6020 S Langley Ave,Chicago,IL,ES,closed,41.785607,-87.608608,60637,WOODLAWN,"6020 S LANGLEY AVE, CHICAGO, IL, 60637"
Songhai Elementary Learning Institute,11725 S Perry Ave,Chicago,IL,ES,closed,41.681158,-87.625136,60628,WEST PULLMAN,"11725 S PERRY AVE, CHICAGO, IL, 60628"
Stewart Elementary School,4525 N Kenmore Ave,Chicago,IL,ES,closed,41.965033,-87.656110,60640,UPTOWN,"4525 N KENMORE AVE, CHICAGO, IL, 60640"
Stockton Elementary School,4420 N Beacon St,Chicago,IL,ES,closed,41.962069,-87.663816,60640,UPTOWN,"4420 N BEACON ST, CHICAGO, IL, 60640"
Trumbull Elementary School,5200 N Ashland Ave,Chicago,IL,ES,closed,41.976626,-87.670115,60640,EDGEWATER,"5200 N ASHLAND AVE, CHICAGO, IL, 60640 (OpenStreetMap Nominatim; Census mis-snapped to 5200 S)"
Von Humboldt Elementary School,2620 W Hirsch St,Chicago,IL,ES,closed,41.906668,-87.693163,60622,WEST TOWN,"2620 W HIRSCH ST, CHICAGO, IL, 60622"
West Pullman Elementary School,11941 S Parnell Ave,Chicago,IL,ES,closed,41.677125,-87.635790,60628,WEST PULLMAN,"11941 S PARNELL AVE, CHICAGO, IL, 60628"
Williams Middle Prep Academy,2710 S Dearborn St,Chicago,IL,MS,closed,41.844221,-87.628522,60616,DOUGLAS,"2710 S DEARBORN ST, CHICAGO, IL, 60616"
Williams Multiplex Elementary School,2710 S Dearborn St,Chicago,IL,ES,closed,41.844221,-87.628522,60616,DOUGLAS,"2710 S DEARBORN ST, CHICAGO, IL, 60616"
Woods Elementary Math & Science Academy,6206 S Racine Ave,Chicago,IL,ES,closed,41.781295,-87.654623,60636,WEST ENGLEWOOD,"6206 S RACINE AVE, CHICAGO, IL, 60636"
Yale Elementary School,7025 S Princeton Ave,Chicago,IL,ES,closed,41.766369,-87.632163,60621,GREATER GRAND CROSSING,"7025 S PRINCETON AVE, CHICAGO, IL, 60621"
