NAME,B19013_001E,B25003_001E,B25003_002E,B25003_003E,B25002_001E,B25002_003E,state,county,tract
"Census Tract 513, Cook County, Illinois",199890,1105,836,269,1125,20,17,031,051300
"Census Tract 514, Cook County, Illinois",150357,1062,623,439,1152,90,17,031,051400
"Census Tract 601, Cook County, Illinois",145313,1283,828,455,1379,96,17,031,060100
"Census Tract 602, Cook County, Illinois",91081,1196,454,742,1212,16,17,031,060200
"Census Tract 603, Cook County, Illinois",139306,1217,515,702,1273,56,17,031,060300
"Census Tract 604, Cook County, Illinois",154038,1560,761,799,1700,140,17,031,060400
"Census Tract 605, Cook County, Illinois",60987,679,171,508,764,85,17,031,060500
"Census Tract 608, Cook County, Illinois",83534,3686,1600,2086,3980,294,17,031,060800
"Census Tract 609, Cook County, Illinois",86987,4886,2436,2450,5189,303,17,031,060900
"Census Tract 610, Cook County, Illinois",116500,1092,275,817,1217,125,17,031,061000
"Census Tract 611, Cook County, Illinois",123750,739,231,508,810,71,17,031,061100
"Census Tract 612, Cook County, Illinois",118398,867,346,521,926,59,17,031,061200
"Census Tract 615, Cook County, Illinois",126101,901,307,594,985,84,17,031,061500
"Census Tract 618, Cook County, Illinois",76393,745,151,594,768,23,17,031,061800
"Census Tract 619.01, Cook County, Illinois",67063,2643,602,2041,2698,55,17,031,061901
"Census Tract 619.02, Cook County, Illinois",92011,2899,934,1965,3125,226,17,031,061902
"Census Tract 620, Cook County, Illinois",133514,1753,399,1354,1835,82,17,031,062000
"Census Tract 621, Cook County, Illinois",92313,2091,516,1575,2135,44,17,031,062100
"Census Tract 622, Cook County, Illinois",172841,1381,758,623,1381,0,17,031,062200
"Census Tract 623, Cook County, Illinois",244286,586,346,240,689,103,17,031,062300
"Census Tract 624, Cook County, Illinois",158542,772,451,321,816,44,17,031,062400
"Census Tract 625, Cook County, Illinois",169917,681,457,224,776,95,17,031,062500
"Census Tract 626, Cook County, Illinois",177045,930,629,301,981,51,17,031,062600
"Census Tract 627, Cook County, Illinois",136667,1400,573,827,1440,40,17,031,062700
"Census Tract 628, Cook County, Illinois",166741,1553,718,835,1660,107,17,031,062800
"Census Tract 629, Cook County, Illinois",181429,1964,938,1026,1987,23,17,031,062900
"Census Tract 630, Cook County, Illinois",103250,1784,571,1213,2017,233,17,031,063000
"Census Tract 631, Cook County, Illinois",97347,1407,385,1022,1458,51,17,031,063100
"Census Tract 632, Cook County, Illinois",77183,4590,1442,3148,4887,297,17,031,063200
"Census Tract 633.01, Cook County, Illinois",69188,2021,322,1699,2120,99,17,031,063301
"Census Tract 633.02, Cook County, Illinois",96364,2856,903,1953,3154,298,17,031,063302
"Census Tract 633.03, Cook County, Illinois",104813,919,489,430,1040,121,17,031,063303
"Census Tract 634, Cook County, Illinois",116765,1348,293,1055,1424,76,17,031,063400
"Census Tract 701.01, Cook County, Illinois",96944,2656,1026,1630,2861,205,17,031,070101
"Census Tract 701.02, Cook County, Illinois",106062,1914,738,1176,2144,230,17,031,070102
"Census Tract 701.03, Cook County, Illinois",76477,1133,49,1084,1243,110,17,031,070103
"Census Tract 702, Cook County, Illinois",101992,2102,670,1432,2290,188,17,031,070200
"Census Tract 703, Cook County, Illinois",178750,1663,682,981,1883,220,17,031,070300
"Census Tract 704, Cook County, Illinois",205772,1469,695,774,1633,164,17,031,070400
"Census Tract 705, Cook County, Illinois",194408,1318,749,569,1449,131,17,031,070500
"Census Tract 706, Cook County, Illinois",210469,1291,788,503,1408,117,17,031,070600
"Census Tract 707, Cook County, Illinois",146806,1740,922,818,2272,532,17,031,070700
"Census Tract 710, Cook County, Illinois",186518,1043,596,447,1043,0,17,031,071000
"Census Tract 711, Cook County, Illinois",212677,1131,501,630,1358,227,17,031,071100
"Census Tract 712, Cook County, Illinois",131163,1268,482,786,1372,104,17,031,071200
"Census Tract 713, Cook County, Illinois",127083,2113,1174,939,2223,110,17,031,071300
"Census Tract 714, Cook County, Illinois",123070,2796,1327,1469,3194,398,17,031,071400
"Census Tract 715, Cook County, Illinois",123663,3808,1361,2447,4322,514,17,031,071500
"Census Tract 716, Cook County, Illinois",242250,733,457,276,790,57,17,031,071600
"Census Tract 717, Cook County, Illinois",149821,663,398,265,743,80,17,031,071700
"Census Tract 718, Cook County, Illinois",232807,1090,630,460,1135,45,17,031,071800
"Census Tract 801, Cook County, Illinois",116983,4314,2180,2134,4953,639,17,031,080100
"Census Tract 802.01, Cook County, Illinois",118417,2362,1433,929,2675,313,17,031,080201
"Census Tract 802.02, Cook County, Illinois",104129,2838,1194,1644,2942,104,17,031,080202
"Census Tract 803, Cook County, Illinois",157882,3238,1359,1879,3544,306,17,031,080300
"Census Tract 804, Cook County, Illinois",-666666666,2273,793,1480,2304,31,17,031,080400
"Census Tract 810, Cook County, Illinois",81616,5415,668,4747,6166,751,17,031,081000
"Census Tract 811, Cook County, Illinois",79683,2809,566,2243,3073,264,17,031,081100
"Census Tract 812.01, Cook County, Illinois",134246,2948,1364,1584,3836,888,17,031,081201
"Census Tract 812.02, Cook County, Illinois",158100,2094,1497,597,2486,392,17,031,081202
"Census Tract 813, Cook County, Illinois",115260,3853,2039,1814,4311,458,17,031,081300
"Census Tract 814.01, Cook County, Illinois",82365,1530,679,851,1797,267,17,031,081401
"Census Tract 814.02, Cook County, Illinois",166824,3594,1121,2473,4406,812,17,031,081402
"Census Tract 814.03, Cook County, Illinois",117550,6501,1634,4867,7542,1041,17,031,081403
"Census Tract 815, Cook County, Illinois",141780,3447,1885,1562,4505,1058,17,031,081500
"Census Tract 816, Cook County, Illinois",140323,2742,805,1937,3422,680,17,031,081600
"Census Tract 817, Cook County, Illinois",134579,3719,845,2874,4080,361,17,031,081700
"Census Tract 818, Cook County, Illinois",157238,7700,3467,4233,8308,608,17,031,081800
"Census Tract 819, Cook County, Illinois",238250,705,333,372,964,259,17,031,081900
"Census Tract 901, Cook County, Illinois",136463,1427,1299,128,1478,51,17,031,090100
"Census Tract 902, Cook County, Illinois",129787,2648,1978,670,2875,227,17,031,090200
"Census Tract 903, Cook County, Illinois",117768,523,432,91,555,32,17,031,090300
"Census Tract 1001, Cook County, Illinois",109242,2134,1688,446,2333,199,17,031,100100
"Census Tract 1002, Cook County, Illinois",113767,2830,1815,1015,2907,77,17,031,100200
"Census Tract 1003, Cook County, Illinois",74250,2694,1771,923,2912,218,17,031,100300
"Census Tract 1004, Cook County, Illinois",144125,1267,1248,19,1267,0,17,031,100400
"Census Tract 1005, Cook County, Illinois",117583,2338,2130,208,2353,15,17,031,100500
"Census Tract 1006, Cook County, Illinois",84896,1861,1446,415,1933,72,17,031,100600
"Census Tract 1007, Cook County, Illinois",131932,1906,1791,115,1939,33,17,031,100700
"Census Tract 1101, Cook County, Illinois",94141,2325,1483,842,2422,97,17,031,110100
"Census Tract 1102, Cook County, Illinois",66429,1356,671,685,1471,115,17,031,110200
"Census Tract 1103, Cook County, Illinois",122652,1780,1510,270,1969,189,17,031,110300
"Census Tract 1104, Cook County, Illinois",85825,2057,1440,617,2190,133,17,031,110400
"Census Tract 1105.01, Cook County, Illinois",104848,1960,1199,761,2072,112,17,031,110501
"Census Tract 1105.02, Cook County, Illinois",80762,1513,1027,486,1616,103,17,031,110502
"Census Tract 1201, Cook County, Illinois",157543,1475,1452,23,1585,110,17,031,120100
"Census Tract 1202, Cook County, Illinois",155481,1763,1521,242,1836,73,17,031,120200
"Census Tract 1203, Cook County, Illinois",137043,2551,2361,190,2551,0,17,031,120300
"Census Tract 1204, Cook County, Illinois",117404,1261,1090,171,1367,106,17,031,120400
"Census Tract 1301, Cook County, Illinois",41336,1805,969,836,1977,172,17,031,130100
