RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28,2026-03-31
84619,79,60617,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,,,,,,,,,,,,,,,,,965.8966231530231,967.2868348848637,976.428652437594,974.7063547439898,948.5525455258512,942.194167085261,941.4650698310642,952.2475161456381,953.5362308035444,965.400860187824,984.0807766381976,981.6305632539351,982.5312190773315,975.367366489561,968.5668484422941,981.2629071209045,981.137862534527,,973.5588768173852,966.9964006497489,978.4758559932869,994.9329249510859,996.5796086533825,985.422254812076,983.9886987233978,1003.5313111996142,1019.2581708780008,1019.8701267118087,1021.3000748745432,1012.2453007008813,1015.2239198766523,994.6946587932772,1014.2199340059724,1000.4905015087347,1029.9486963287252,1025.5097371681184,1043.0210724014034,1041.3723432947647,1043.2560476089654,1042.4588516981062,1035.205889470094,1037.0266911371737,1019.2870912958213,1016.0415990983881,1021.9577796996767,1047.8185953686134,1044.0291753822667,1043.017072810202,1049.0674605596657,1082.0422062804678,1085.120027396998,1092.2904155810572,,1095.402758187303,1090.1773707468658,1103.2557997955005,1105.2463611930123,1116.9433911192677,1129.5809850309427,1122.6964970618544,1120.5801684440398,1127.5698967883825,1138.2323729441796,1159.2067776469416,1151.294387895247,1153.3142071955915,1181.0256072416673,1205.2773386615088,1218.094252382354,1202.4244837083093,1209.8521518542696,1230.9216077304807,1241.7502234439721,1264.7955578775288,1262.1563180584806,1255.4433289307742,1255.3675908986345,1260.156052751837,1277.1684062247461,1291.4635018450633,1303.2291791604266,1298.970614267537,1288.0173644090337,1279.0555875409007,1287.6070416739647,1286.7208596972657,1292.6880120091344,1295.4483923845833,1306.696439541274,1333.2340722523554,1347.4146778346164,1342.6803552481774,1332.9403402408934,1345.2297493277413,1383.326796730364,1401.4032793527206,1415.4448384434704,1397.4162147624374,1390.7491638659424,1388.212026842002,1411.128634406299,1440.7079494528275,1462.0807964869657,1445.3624900167044,1425.2879365491892,1445.0542116062904,1479.4256317763497,1498.7490946727946,1485.5200634227401,1504.1937667233826,1517.0253145478982,1575.0929445145407,1592.1966197714135,1611.659926742618,1582.1845284237825,1540.4410130721703,1528.3471433871218,1539.0588422429807,1590.4109848484848
84610,99,60608,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,,,,,,,,,,,,1151.1715592143423,1169.0348733607173,1192.2062179287575,1204.7991152848294,1223.3814075220882,1214.8369166175546,1231.6233505445637,1221.988542327478,1257.2731441912013,1241.7682304283956,1250.4549164743748,1244.8133454137817,1250.6225131255183,1246.527047242219,1227.2438932218015,1252.1307458938975,1265.0198134935958,1284.957349218254,1296.7286969257325,1299.152985837951,1300.5041594347986,1304.099840993929,1282.736760804676,1274.6995878865177,1270.3656703925285,1285.3103727682767,1300.5473905009665,1312.7829758933906,1335.8873927572977,1352.406255857293,1357.3687736632494,1358.1933889695897,1367.8562043664824,1364.4451228137857,1359.769134120769,,1333.4170612563091,1334.7985050305938,1351.2976079830437,1352.8360539699088,1366.5112397885073,1384.7194034693614,1391.0924203369498,1389.9717591267352,1392.829823241899,1388.9329097283164,1390.7739766593543,1376.54821822516,1346.8091935613663,1361.6592659120356,1375.5711642827878,1411.8811755572124,1406.7916826900632,1407.1833662981242,1412.553101819666,1413.2037952466064,1411.9950327802098,1397.7924999885267,1374.6077645710957,1351.6783689974284,1341.5508303054007,1346.7561817155108,1368.7085461314757,1385.899928234887,1405.9154700765555,1418.957204675209,1433.3143126799166,1447.4388216029083,1452.2062369601424,1456.475771391002,1448.4014465425803,1444.2541372562125,1459.0865348943432,1464.767829148083,1467.2217845696186,1476.8425801826913,1496.102219191259,1530.4111252472678,1537.6834423928133,1551.0734172388975,1548.1143514486184,1550.697341420643,1558.1337435663418,1558.4988705823505,1575.0838178823203,1568.8850203660015,1586.0466814004699,1581.0511454576076,1605.1735632881566,1622.533470813144,1635.312241208582,1640.6144675383352,1646.6263353748977,1640.9880254555235,1636.4192667598647,1632.8569631138885,1634.9926141534866,1648.1744585072358,1659.8937372283904,1678.0163026259659,1691.2180431783418,1699.897462611265,1714.3251084829744,1726.1430503988213,1740.2986478733587,1741.7439393143945,1743.504418195325,1730.8809425550546,1732.4187317465219,1743.7414115917047,1760.5005171740415,1777.3952103200077,1776.6288367430939,1784.7705176381162,1808.3763841187235,1820.06394078529,1834.4497852817265,1812.1773283253242,1814.1442857615998,1801.544483435851,1820.1797527196914,1816.9787354020307,1842.4776106015483,1863.3896396396397
84622,211,60620,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,864.0357908403929,877.82718172162,874.9928791766141,866.0436890839602,877.5892910752268,889.4803635651822,,891.3163402944681,898.7455167492644,910.8343551409637,905.2204047252463,904.8892853480039,922.1243085608021,940.8922012687535,943.0655014684532,922.5988403290014,907.3021599535156,908.9965127924044,912.7153602188274,933.7665710567634,936.0634218062205,939.8842908131556,935.6065823186877,935.344309412461,942.9461255119297,951.115876041139,949.1306413849787,942.2422955308926,949.1960418942145,950.2857340009045,950.9805790495653,943.9662823905761,949.2520769012187,954.2363636531362,946.2564100899405,937.3936323347461,935.5011022265568,929.9490514838748,942.5826729215541,952.8126417910562,982.9428345070205,990.9082299372268,991.3532172070977,977.2700445232142,964.6735901231212,966.1079554434148,964.7318616589761,977.7293964119214,984.7108138104709,998.7796415468716,999.2234566621189,998.7258295460524,993.9641174324497,994.4710602587198,998.8678826217795,1004.2739825616532,1000.1319856536139,1003.3562240067206,1008.0046275667172,1026.140784261822,1022.1602101544484,1018.21144258785,1013.4049136904172,1014.0785789900565,1033.3605664010543,1040.6941375968279,1060.2828136128546,1055.7481715330382,1054.3398748951622,1045.2144665402493,1057.6603792059843,1063.009900923009,1076.2187654264728,1086.7538250616465,1100.12648120543,1116.1474579506987,1109.4977554802044,1112.2641157139558,1098.4261554075088,1106.9497947789623,1113.9336221980218,1128.6849002054714,1138.0022901589978,1135.5735679020029,1129.190963118346,1129.27588064139,1148.296785111151,1190.1301086256055,1215.319207378577,1223.5022486150503,1203.744743193221,1204.1135514002567,1207.9958255318143,1214.1269937755064,1211.7244222071251,1212.635433960138,1213.2573282482253,1206.4194978391376,1200.2631829889096,1204.4526813680482,1214.7549547842123,1218.9709062573975,1215.5815520921794,1220.9894113290366,1235.4719479837677,1254.9454015896108,1251.6874042690865,1268.4633003001275,1259.6545577589413,1256.1942342568248,1254.0146749595913,1274.8132968879868,1291.0584358105325,1284.0306533481419,1289.768791464403,1299.6096060251964,1318.3575069877236,1334.5332662456824,1338.6025272431848,1341.109885901313,1336.9031564546108,1358.7862377958409,1399.3321882015312,1430.6806984601292,1441.9021186204661,1438.6909974927407,1424.0537060906045,1442.0707944511112,1459.3362800223456,1465.1905646806078,1470.860246175547,1442.9506839150952,1450.7888786721442,1450.3595370059716,1460.0893939393939
84629,296,60628,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,,,,,,,,,,,,,,,,,,,882.488633196258,910.0869011928911,907.5424941400104,912.970913855021,903.0424193012915,893.468736838908,893.8564194754006,896.415482876395,891.9995437917348,893.1949275529408,910.3768591427034,915.3322478074982,914.8971141962274,917.966487874044,934.0404219078391,932.4207290722376,909.3045272991533,906.0470125961051,899.9318513553761,923.8778335895651,927.9360974332183,950.1316690361994,950.4528752174175,951.5635451331673,952.5006003996529,946.0456684067515,937.6906560270803,929.1765544893979,938.7283898236408,940.5078051112664,943.41558280183,956.9845177519451,965.0409106944356,970.9239176685816,972.2965601504961,984.487108969331,991.6873609484147,968.8540756352683,971.2698247439837,987.0147955274286,998.425836296323,999.1688318065262,978.5280417758524,997.3408198968108,998.5115666676179,1009.1226262960113,992.2087590956863,982.3435313180316,987.7507119339473,1005.7600568900399,1019.2395082760482,1024.535371711701,1029.086394089233,1041.0480673589002,1037.7289197556606,,1049.9113531836547,1070.7804764504565,1078.8413710463283,1072.0534537688966,1079.3524778796755,1084.435587237719,1106.8370466641213,1113.3477344693363,1123.6173549650962,1111.2506726963552,1097.0289636252417,1108.0781887077896,1129.7250287941224,1145.4248116586652,1162.2928182738092,1184.2509291720112,1208.9711076736958,1222.6686476137647,1207.9423359496755,1222.003384886535,1204.6730760580751,1228.7051553786673,1228.134125814692,1243.1478466720378,1227.5525789489718,1244.8181345831697,1244.3283024308957,1242.7857816357098,1246.6032573098921,1240.3602476423457,1232.0890178718955,1223.4839011309816,1257.0563556197662,1289.742503855592,1316.4045863227618,1324.3944826440961,1343.255312067568,1356.3748060399132,1354.3728304836852,1347.5057056966439,1332.4728358353047,1390.0533267937637,1410.0583019685293,1442.7538769788036,1416.2295951675778,1415.8045880118166,1432.1241573938262,1435.090898802104,1449.76005394641,1433.0585937175997,1453.6360627137556,1496.3281247881646,1513.5348775602895,1518.9567362016128,1502.14557802332,1518.7997091479779,1530.087940583126,1526.5981514074758,1555.6063503271878,1557.919508989654,1600.4920634920636
84611,307,60609,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992.2985116649719,1003.9446158002626,1034.2524894781664,1058.3011337985045,1041.112913069467,1034.4573826026528,1009.1803575414584,1065.9251726129341,1067.1047772278757,1083.3116188280142,1048.9483109423063,1060.2847873310866,1073.2569047495476,1099.8311700776678,1119.9691305517822,1145.2279695931957,1127.8998001995265,1115.3091098799407,1069.3873548159797,1071.8359984999277,1076.2827437051087,1125.802818497685,1128.60956138656,1137.797497611581,1101.866824234125,1098.5837131959386,1101.5797126527184,1126.6797442276409,1133.0796605315907,1113.8404407356545,1088.6442324754648,1095.0892753852897,1101.2906964007586,1136.984184187135,1144.0550410354524,1156.9581508319745,1127.3136445064324,1146.007615714439,1152.2624357147827,1175.4245162398586,1173.3227115186064,1171.7564457185943,1175.2557189180375,1157.479854531388,1147.7596755092202,1148.0651377723998,1166.0785034649623,1198.3026422538442,1223.585794339286,1235.6057913924715,1233.7664599632933,1225.889378329407,1244.773826126768,1247.9792952219188,1274.1777634381617,1246.19819649583,1257.5822678543464,1236.7404066424613,1256.4689774478468,1253.7831961283962,1263.8300532683459,1268.6162329893705,1288.3028805395477,1314.477592118794,1324.7453645319981,1334.3736740639392,1337.2285554417742,1369.2890475498161,1357.314328136015,1357.425094282856,1353.5119557282449,1378.3115513938114,1359.3729801919894,1364.0864499811341,1357.6359514694636,1387.125183878049,1388.0401580450032,1405.8290271334556,1414.768811211705,1433.602014975678,1435.9911889174318,1440.5696542226376,1444.4942641772461,1451.835169871866,1459.2352536481205,1471.7236077284092,1500.07469196807,1515.991875652874,1505.660362272344,1491.591503470501,1522.1879091420349,1525.887193411645,1515.0168696598896,1528.6628118338867,1544.0614441406017,1576.7592592592591
84621,387,60619,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,,,,,,,,,,,,,,,,,794.2058291088478,803.3927529561726,824.5492050848231,819.0991786170367,828.1017882166707,817.6229450101488,827.3358319947146,824.4147858591272,834.151943515917,848.1302885305723,844.1037210208674,854.1868830300918,841.212374958569,857.4503914103285,853.5774974738722,857.2390353383227,845.3625882794781,853.9155062225177,862.0045348629193,867.0215430416725,868.3742374665067,881.2421388576136,892.1098164796772,899.1577279340161,894.4604129124344,893.5038983512225,892.0081302925288,879.0866830829218,868.6890872728319,865.5243252053992,876.1785086933763,887.7864061371487,878.3353555707554,878.6373814822736,891.1338227275083,903.7189251375644,907.8837903911547,908.6634512162216,910.2047918289624,913.9325062078615,916.0858083474376,921.3963166919384,924.2668029855337,926.7645983861536,921.3938327289977,913.3767756811937,905.6731163909878,910.3621892323243,919.2633743461503,938.5184849731277,953.4314102584053,963.698011046304,961.2206072632429,956.3963058652803,958.3555007006557,972.8037832537386,982.706750755653,996.9323440891275,990.7966815038519,1004.9482766138759,995.7592083408401,1006.8230954235312,993.7696032736715,998.7556522230843,986.6126216686371,996.3587452486878,1004.1327754930073,1007.7213364717277,1016.5088550364678,1034.1098214214248,1059.675221848927,1092.306004556029,1115.86975807426,1133.7077032416607,1123.1415673694903,1110.3825551615025,1091.632224804747,1089.1822607513325,1080.4176524723182,1088.1830116681406,1087.5321835612554,1103.9008076995449,1112.7462804872036,1120.2086735528846,1127.9474091242382,1126.4310016035543,1122.7804328245627,1099.2804166090434,1103.3038585951406,1108.5242921901809,1126.577957298637,1132.406541560195,1154.3018440742237,1164.6472432474118,1178.1416517416571,1187.3434618805793,1185.2830876898902,1180.4380756468388,1175.938598961426,1187.0459033964567,1204.6881567067228,1213.4536041000156,1241.0426097255724,1246.0519634691434,1256.6681150935597,1254.8857934346856,1255.5657841393054,1231.222388857935,1243.0100102341494,1270.1764432780385,1321.449609848927,1325.3785160650236,1334.0549140046915,1316.2177741469386,1319.0014864984269,1311.706378091493,1343.8369679747912,1357.9934090970414,1365.5937149270483
84647,895,60649,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,787.4755703268438,788.4539045015154,792.6541740211039,796.8322102745788,803.4486709565016,811.0846008283121,815.7058503509538,814.2623689301455,811.6048689487624,819.4440622065549,819.959109716637,823.944291685402,821.4107116937253,826.4180795868789,833.1111015673612,838.3316530402246,850.7172200888315,847.0415504645041,846.347035176204,860.965306558507,875.7922803209021,888.6762590147936,891.0132290337866,891.2227393046259,893.930207036087,880.4684001031776,871.3051388634916,877.4323387599972,890.2539989378512,913.1661262463853,900.9645782483451,897.7171791642941,892.2935235236222,904.2410233506924,899.0357318226019,895.8593411282111,897.0996112945513,910.8020685949909,913.5298508898603,918.7258266718728,924.3657179727286,940.9845375933177,943.3620848082393,934.5221597791493,928.4610436986658,921.4041363933437,928.741116403569,925.5198716157444,939.225965481543,941.7242364452442,946.4632759504997,959.7297573682763,966.4696428893396,972.2930150123877,962.8059931769735,963.2216283419936,966.927308133912,976.4409240832639,969.9687417233221,973.6170171782865,981.6541168022029,1002.2204995295231,1015.1521579248484,1003.7187037413822,996.7953025818143,992.1465133888953,1003.392024116856,1007.6796158396527,1019.7345417302915,1027.5497484754412,1044.406629796754,1036.8358668083738,1026.213428098378,1004.8830917098323,1009.9230803176667,1022.7240395635747,1038.127328154049,1041.4160073371027,1046.4649670618426,1055.0685387632197,1056.571876030735,1059.989895314588,1063.493289222841,1082.7391363089735,1086.99726524714,1099.3804289580532,1102.8485134817843,1133.6060509572455,1154.996849570754,1174.4252554007905,1171.3258469633265,1157.8141715863976,1149.0039630075084,1143.4144644491198,1143.0831701983127,1145.4601515727852,1149.7933654633373,1164.859750603382,1174.3567329998757,1180.3501048733813,1178.8930384772655,1181.1928721381946,1178.080266022649,1190.6375020866462,1180.1313790320564,1182.766825682396,1176.883573223304,1196.3691474755403,1216.197027726967,1216.1768120277043,1215.0944290390808,1209.4971893397162,1213.3862412168687,1238.035230019403,1244.5419291296112,1265.375979239978,1256.0709986635263,1267.0138548978393,1260.9032418864488,1265.136025389336,1257.2218076648508,1282.4002061528001,1273.8123527987966,1296.2658763018728,1293.052711004057,1321.0779048658444,1324.6427220546182,1346.2740918690158,1366.0234229661655,1367.52335800106,1362.3740785337689,1356.4281039338641,1361.4646436510884,1369.8628242291065,1376.9900793650793
84618,949,60616,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1237.030545277923,1232.7164129041232,1225.6837305000845,1244.430736922463,1280.6052916527258,1299.2247325457004,1302.0764020609606,1281.0461900152204,1273.0031598305782,1286.2404890609148,1291.5029693610577,1298.2722389088372,1297.6088348797766,1309.1847769916521,1314.2616240049435,1305.1112486963239,1312.154060696891,1327.735788636247,1344.750674510569,1354.0642584375423,1366.0449625171755,1336.3497318911766,1338.728553280799,1317.7000801759455,1331.1848424688849,1335.660313381155,1344.8465844820907,1371.0357116000266,1367.1889043741576,1377.9545909801504,1376.9926399401925,1378.20149955694,1368.317332579384,1341.260676948354,1328.9812661393719,1317.9827387067849,1321.3058645575263,1343.3803389116565,1372.5994761019178,1385.4108829076606,1383.4469963964436,1382.479831042381,1402.699532586226,1408.8027821307471,1389.3877567943528,1370.2242830301068,1362.2246362782637,1366.2343905168302,1380.664039293425,1378.6128616829794,1402.5355589680355,1406.7379704129055,1419.0009808451264,1425.514985357703,1446.051707759421,1450.9976722266822,1448.1064596013368,1441.194812751676,1436.3678041758053,1424.2669859604273,1418.5963651142674,1418.11244223152,1430.7873882864296,1429.0449999380999,1435.7578373261333,1435.3596764305453,1439.6716663547147,1439.5544582244945,1412.679098047721,1390.1236839845228,1380.3739880749474,1385.5594482796964,1387.4286051506908,1392.7320573811546,1399.661362877503,1418.298708123564,1436.8562305824605,1469.8975205898846,1489.4993313757316,1490.8153391688445,1481.1586472285373,1468.3508512784324,1449.361881547504,1430.8655517527648,1437.285691118046,1464.7886358702967,1505.204872236124,1527.1337052588738,1549.315069099828,1562.2977437612776,1573.6894793996207,1574.854426060596,1581.81972168538,1575.7320649853457,1556.126223088447,1538.177628479971,1544.340115061224,1566.239810879746,1596.1773252061116,1605.106876690241,1608.5453869442513,1600.8507548736752,1600.5914927601755,1608.9248958587866,1632.2468261200088,1639.3480968216127,1635.1108097672936,1621.6886456573907,1649.975788106439,1671.149758374562,1677.5785407684516,1668.9832124199563,1673.8194780397446,1687.200851514413,1691.1807679237254,1690.540399166363,1683.0026018900785,1671.2876461320125,1664.645052660779,1675.2145151581497,1673.5062238799694,1684.3935683119198,1690.832894299274,1728.6619331934007,1750.8871910760101,1764.124244992952,1766.6436984224674,1761.9999309081386,1741.2958792100699,1704.712551559654,1663.0601523587468,1663.3899069419197,1685.2252208759028,1723.045855905716,1744.3114521170785
84642,999,60643,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1468.2142437570758,1472.8487655814524,1445.6698872331951,1490.2855267763166,1491.0295199117384,1584.6415685767788,1621.2359464014862,1726.2418479652385,1748.8904511821277,1786.1703301219118,1772.7676547269286,1744.433637972071,1670.3076944603777,1546.9392208988504,1549.8584934535531,1563.6376922926272,1667.5224655236998,1689.1613835492387,1770.1052201037664,1772.9191404183205,1722.8770741920148,1757.7162551358313,1847.857692876174,1949.403350410581,2029.4637875630076,2005.6225380819458,2056.8051772354406,2012.2355572439608,1961.6878872940654,2044.2803541195526,2057.501156580472,2219.338313535951,2214.946899505527,2254.572032744259,2391.336739827997,2344.027777777778
84637,1127,60637,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1068.3267153325035,1070.5769343276113,1079.0739120526762,,1071.1468221849218,,1092.3771002081814,1099.1321085070176,1113.1613141639823,1106.4217052453125,,1100.8545366093986,1101.960522073176,1114.6331435204816,1134.7616011942057,1129.0010929452128,1113.8034810241727,1089.8716289740998,1094.64705589675,1102.5743209873754,1111.824974646974,1108.079901266727,1106.2351580781724,1114.6804729875441,1121.2287509949836,1123.0985785312498,1126.2697348504314,1124.8973513572494,1138.9903777750358,1143.34543816419,1146.35375028049,1136.4533968524854,1142.6426002707858,1160.4375025868533,1174.9411985807278,1175.357863771624,1180.3435727608603,1185.3756028081918,1193.2888967172182,1185.3992463299596,1187.7996390296755,1193.9363831244077,1202.6182714981398,1198.9864350292216,1181.547137493317,1174.77623120374,1158.618034027378,1163.7346525815067,1174.4732461353897,1182.3860421016466,1196.8059071907935,1205.5166153525288,1233.199645862045,1237.982021769329,1245.4670825226597,1241.239105487994,1236.3920456827932,1232.9380385899124,1235.4062517364273,1237.362083254791,1240.118392661232,1244.0716318610334,1252.9993009050688,1255.8343953610024,1264.306502196033,1270.0060051281857,1279.9131921591077,1274.5309047629953,1276.774089213813,1269.751562710773,1288.3581842351607,1315.1652270304928,1327.7240204428513,1317.097369786424,1293.1847088592108,1298.9253747536068,1311.9557139871076,1326.8917823940546,1332.8786539233668,1343.898139441875,1352.279150764832,1368.9505419071788,1384.1990196650015,1388.116377510099,1381.1358169509967,1381.6188806100763,1394.4097835230868,1406.4859740193738,1415.4264371803636,1427.0252477368574,1445.4853633963373,1455.1174304769477,1463.568080673246,1452.2215135391139,1461.4454370516291,1449.8990544486164,1474.52031035949,1473.4267930948795,1492.0747606837494,1493.726055063299,1507.8737854685414,1510.2143251181708,1511.267144132615,1509.665364175528,1508.1645159669365,1507.5763823583834,1510.1248356605486,1527.5524655578415,1536.504301147889,1551.7673410660507,1545.6643631058682,1561.5103744235294,1557.6611195216724,1557.9380646271418,1557.2274801798237,1558.3587629103731,1586.0700370375373,1591.9861279420197,1619.0265767346182,1624.2019633713062,1632.4237052615206,1624.5480277898814,1624.3882062415726,1632.6774583222232,1646.0054624581876,1657.6707683240006,1650.7649151292853,1657.080119712019,1667.545496528125,1693.7337455086276,1725.844401342682,1748.5162564248005,1775.3260236187489,1775.0467657007805,1757.946952518381
