NAME,B19013_001E,B25003_002E,B25003_003E,state,county,tract
Census Tract 71.02; Dallas County; Texas,71068,1173,1228,48,113,007102
Census Tract 72.03; Dallas County; Texas,43527,0,1177,48,113,007203
Census Tract 72.04; Dallas County; Texas,53708,147,1324,48,113,007204
Census Tract 72.05; Dallas County; Texas,42985,15,1599,48,113,007205
Census Tract 72.06; Dallas County; Texas,43720,21,1078,48,113,007206
Census Tract 73.01; Dallas County; Texas,250001,655,139,48,113,007301
Census Tract 73.02; Dallas County; Texas,242870,1421,282,48,113,007302
Census Tract 76.01; Dallas County; Texas,200583,591,159,48,113,007601
Census Tract 76.04; Dallas County; Texas,250001,1014,8,48,113,007604
Census Tract 76.05; Dallas County; Texas,211023,722,31,48,113,007605
Census Tract 77.01; Dallas County; Texas,135069,355,828,48,113,007701
Census Tract 77.02; Dallas County; Texas,146267,1385,340,48,113,007702
Census Tract 78.01; Dallas County; Texas,93972,801,560,48,113,007801
Census Tract 78.05; Dallas County; Texas,70270,676,670,48,113,007805
Census Tract 78.09; Dallas County; Texas,92727,681,807,48,113,007809
Census Tract 78.10; Dallas County; Texas,76250,945,916,48,113,007810
Census Tract 78.12; Dallas County; Texas,200750,1026,48,48,113,007812
Census Tract 78.15; Dallas County; Texas,40316,250,1640,48,113,007815
Census Tract 78.19; Dallas County; Texas,46418,113,1143,48,113,007819
Census Tract 78.21; Dallas County; Texas,44592,117,1390,48,113,007821
Census Tract 78.22; Dallas County; Texas,83288,30,1145,48,113,007822
Census Tract 78.23; Dallas County; Texas,75386,118,1514,48,113,007823
Census Tract 78.24; Dallas County; Texas,202188,682,26,48,113,007824
Census Tract 78.25; Dallas County; Texas,77539,1156,1223,48,113,007825
Census Tract 78.26; Dallas County; Texas,66676,81,860,48,113,007826
Census Tract 78.27; Dallas County; Texas,54681,175,1130,48,113,007827
Census Tract 78.28; Dallas County; Texas,60000,37,2049,48,113,007828
Census Tract 78.29; Dallas County; Texas,54302,443,607,48,113,007829
Census Tract 78.30; Dallas County; Texas,40859,0,1187,48,113,007830
Census Tract 78.31; Dallas County; Texas,43424,0,1063,48,113,007831
Census Tract 78.32; Dallas County; Texas,47500,80,900,48,113,007832
Census Tract 78.33; Dallas County; Texas,29559,97,871,48,113,007833
Census Tract 78.34; Dallas County; Texas,37500,63,1357,48,113,007834
Census Tract 78.35; Dallas County; Texas,54622,520,956,48,113,007835
Census Tract 79.02; Dallas County; Texas,102257,1617,762,48,113,007902
Census Tract 79.03; Dallas County; Texas,144088,701,284,48,113,007903
Census Tract 79.06; Dallas County; Texas,147738,613,433,48,113,007906
Census Tract 79.09; Dallas County; Texas,72631,0,1415,48,113,007909
Census Tract 79.10; Dallas County; Texas,61704,0,2158,48,113,007910
