"mohcd_development_id","development_name","marketing_address","marketing_zip_code","supervisor_district","city_analysis_marketing","planning_neighborhood","ocii_project_area","lead_agency_account_name","tenure","project_status","development_type","general_housing_program","housing_program_program_name","multiphase_or_multisite_project_name","estimated_actual_construction","total_project_units","income_restricted_resid_units","sro_units_rollup","studios_units_rollup","_1_bedroom_units_rollup","_2_bedroom_units_rollup","_3_bedroom_units_rollup","_4_bedroom_units_rollup","_5_bedroom_units_rollup","treatment_beds","senior_units_rollup","tay_units_rollup","homeless_units_rollup","losp_units_rollup","vash_units_rollup","latitude","longitude","location"
"2016-070","555 Larkin Street","555 Larkin St","94102","5","Tenderloin","Downtown/Civic Center","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2023-03-10T00:00:00.000","107","107","0","23","20","50","14","0","0","0","0","0","0","0","0","37.78273191","-122.417524","POINT (-122.417524 37.78273191)"
"2005-024","55 Trumbull","55 Trumbull St","94112","11","Excelsior","Excelsior","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2011-04-27T00:00:00.000","2","2","0","0","0","2","0","0","0","0","0","0","0","0","0","37.73089962","-122.428591","POINT (-122.428591 37.73089962)"
"1984-013","560 Presidio","560 Presidio Ave","94115","2","Presidio Heights","Western Addition","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","Rehabilitation","Other Ownership Programs","Condo Conversion Program",,"1991-03-04T00:00:00.000","8","1","0","0","1","0","0","0","0","0","0","0","0","0","0","37.78651813","-122.4463795","POINT (-122.4463795 37.78651813)"
"2020-026","566 Natoma","566 Natoma St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (Preservation)","Small Sites Program",,"2023-01-30T00:00:00.000","5","5","0","0","4","1","0","0","0","0","0","0","0","0","0","37.77911154","-122.4092698","POINT (-122.4092698 37.77911154)"
"2008-029","570 Jessie","570 Jessie St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2017-08-21T00:00:00.000","6","6","0","4","2","0","0","0","0","0","0","0","0","0","0","37.78075066","-122.4102158","POINT (-122.4102158 37.78075066)"
"2011-023","574 Natoma","574 Natoma St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2012-01-01T00:00:00.000","2","2","0","1","1","0","0","0","0","0","0","0","0","0","0","37.77901435","-122.4093946","POINT (-122.4093946 37.77901435)"
"1990-010","575 Eddy","575 Eddy St","94102","5","Tenderloin","Downtown/Civic Center","Not in an OCII Project Area","MOHCD/SFRA","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"1992-10-16T00:00:00.000","48","47","0","36","11","0","0","0","0","0","0","0","0","0","0","37.78309165","-122.4169161","POINT (-122.4169161 37.78309165)"
"2005-021","5800 Third","5800 3rd St","94124","10","Bayview Hunters Point","Bayview","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2010-09-20T00:00:00.000","17","17","0","0","4","9","4","0","0","0","0","0","0","0","0","37.72541336","-122.3946403","POINT (-122.3946403 37.72541336)"
"1980-014","5853 Mission","5853 Mission St","94112","11","Excelsior","Crocker Amazon","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","Rehabilitation","Other Ownership Programs","Condo Conversion Program",,,"1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","37.70881263","-122.4513698","POINT (-122.4513698 37.70881263)"
"1983-010","595 12th","595 12th Ave","94118","1","Inner Richmond","Inner Richmond","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","Rehabilitation","Other Ownership Programs","Condo Conversion Program",,"1983-03-10T00:00:00.000","11","2","0","1","1","0","0","0","0","0","0","0","0","0","0","37.77717391","-122.4705785","POINT (-122.4705785 37.77717391)"
"2011-003","600 7th St (Land Dedication Site)","600 7th St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program","600 7th St (Land Dedication Site)","2025-09-04T00:00:00.000","220","220","0","100","23","82","15","0","0","0","0","0","120","120","0","37.7728343","-122.4031535","POINT (-122.4031535 37.7728343)"
"2017-050","60 28th Street","60 28th St","94110","8","Noe Valley","Bernal Heights","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (Preservation)","Small Sites Program",,"2018-09-26T00:00:00.000","6","6","0","0","4","2","0","0","0","0","0","0","0","0","0","37.74574828","-122.4233867","POINT (-122.4233867 37.74574828)"
